year,grants,total_amount_usd,median_amount_usd
2015.0,1,1186000.0,1186000.0
2016.0,5,6563985.0,277435.0
2017.0,11,43222473.0,1450016.0
2018.0,12,4270392.0,154500.0
2019.0,8,63243500.0,1055500.0
2020.0,26,16545813.0,117525.5
2021.0,43,84492112.0,300000.0
2022.0,75,95860417.0,265000.0
2023.0,98,86573814.0,272000.0
2024.0,113,84631409.0,423500.0
2025.0,37,46812291.0,484000.0
